"name","type","company","description","amount","notes"
"Françoise Laborde","pro",,,,"Seulement mandat électif senatrice 01/10/2008"
"François-Michel Lambert","pro",,"Conseil  en aménagement du territoire ",,"Profession libérale conseil en aménagement du territoire auprès des collectivités grands comptes et entreprises - 2012  NEANT voir consultant point n°3"
"François-Noël Buffet","pro",,"SCP d'Avocats BUFFET-BURATTI avocats au barreau de Lyon",,
"François-Xavier Villain","pro",,"Retraité","2012 : 22046 EUR","Pension de retraite"
"Frédéric Barbier","pro",,"Cadre ERDF / GRDF","37100 EUR par an","3094,66 EUR par mois (février 2015)"
"Frédéric Cuvillier","pro",,"Membre du gouvernement reprenant son mandat",,
"Frédéric Lefebvre","pro",,"Avocat","207575 EUR par an","Estimation"
"Frédéric Reiss","pro",,,,
"Frédéric Roig","pro",,"Conseiller général","26652 EUR par an","2221 EUR / mois"
"Frédéric Roig","pro",,"Député","64428 EUR par an","Député 5369 EUR / mois"
"Frédéric Roig","pro",,"Maire","6420 EUR par an","535 EUR / mois (écrêté)"
"Frédérique Espagnac","pro",,"Chef de Service Parti socialiste","34932 EUR par an","2911,00 EUR mois net x13"
"Frédérique Massat","pro",,"Député",,"Députée activité prof. néant"
"Gabriel Serville","pro",,,,
"Gabrielle Louis-Carabin","pro",,,,
"Gaby Charroux","pro",,,,
"Gaëtan Gorce","pro",,"Administrateur civil au Ministère de l'Intérieur",,"Avant : administrateur civil au Ministère de l'Intérieur - Traitement"
"Gaëtan Gorce","pro",,"Député",,"Député de juin 1997 à septembre 2011 - Indemnité correspondante"
"Geneviève Fioraso","pro",,"Secrétaire d'état à l'enseignement supérieur et à la recherche","85200 EUR par an",
"Geneviève Gaillard","pro",,,,
"Geneviève Gosselin-Fleury","pro",,,,
"Geneviève Levy","pro",,,,
"Georges Fenech","pro",,"Magistrat mis à disposition - président de a MIVILUDES",,
"Georges Ginesta","pro",,"Agent d'Assurances","2012 : 180086 EUR","180086 EUR en 2012"
"Georges Labazée","pro",,,,
"Gérald Darmanin","pro",,,,
"Gérald Darmanin","pro",,,,
"Gérard Bailly","pro",,"Retraité",,"Agriculteur retraité né en 1940"
"Gérard Bapt","pro",,"Député",,"Député - indemnité parlementaire"
"Gérard Bapt","pro",,"Maire adjoint de Saint Jean",,"Pas d'indemnité (renoncement)"
"Gérard Bapt","pro",,"Membre du Comité Syndical de Toulouse Métropole","9600 EUR par an","Environ 800 EUR/mois"
"Gérard César","pro",,,,
"Gérard Charasse","pro",,"Conseiller général","2013 : 19009 EUR","Conseiller général de Cusset Sud depuis 1998 - 1806,41 x 6 = 10 838 EUR (6 mois 2012) 1667,42 x 12 = 19009 EUR au titre 2013"
"Gérard Charasse","pro",,"Député ","2013 : 54592,56 EUR","Député de l'Allier (3ème circonscription), député réélu en juin 2012 (4ème mandat) - 25934 EUR sur 6 mois de 2012 (net imposable) / 54592,56 EUR au titre de l'année 2013 (net imposable)"
"Gérard Cherpion","pro",,,,
"Gérard Collomb","pro",,,,
"Gérard Cornu","pro",,,,
"Gérard Dériot","pro",,,,
"Gérard Larcher","pro",,,,
"Gérard Longuet","pro",,"Président de Sokrates Group SAS dédié à la conduite du changement","2013 : 42000 EUR par an ",
"Gérard Menuel","pro",,,,
"Gérard Miquel","pro",,,,
"Gérard Roche","pro",,,,
"Gérard Sebaoun","pro",,"Médecin du travail ","2012 : 65774 EUR","Médecin du travail Temps partiel - salarié  -  revenus 2012 : 65774 EUR"
"Germinal Peiro","pro",,"Professeur des écoles en disponibilité ",,"Professeur des écoles en disponibilité "
"Gilbert Barbier","pro",,,,
"Gilbert Bouchet","pro",,,,
"Gilbert Collard","pro",,"Auteur","7782 EUR par an","Auteur percevant des droits d'auteur - mensuelle 648,50"
"Gilbert Collard","pro",,"Avocat ","2012 : 393598 EUR","Avocat (gérant de la SELARL COLLARD) - mensuelle = 32799,9 (en 2012)"
"Gilbert Le Bris","pro",,"Député","2013 : 55009 ","Député - 55009 (année 2013)"
"Gilbert Roger","pro",,,,
"Gilbert Sauvan","pro",,,,
"Gilda Hobert","pro",,,,
"Gilles Bourdouleix","pro",,"Avocat","7000 EUR par an",7000
"Gilles Carrez","pro",,,,
"Gilles Lurton","pro",,"Assistant Parlementaire","33000 EUR par an","Rémunération depuis le 1er Janvier 2009: 185,826.22 EUR Cf. Annexe au document"
"Gilles Savary","pro",,,,
"Gisèle Biémouret","pro",,,,
"Gisèle Jourda","pro",,"Cadre territorial, attachée principale en mairies","54491,76 EUR par an ",
"Gisèle Jourda","pro",,"Collaborateur de cabinet (députation)","17636,64 EUR par an ",
"Guénhaël Huet","pro",,,,
"Guillaume Arnell","pro",,"Responsable du centre de dialyse à Saint Martin","43200 EUR par an",
"Guillaume Bachelay","pro",,"Collaborateur de député (Laurent FABIUS)",,"En 2012, la cessation du mandat du député entraîna la fin du contrat de travail."
"Guillaume Chevrollier","pro",,"Directeur de Programmes Immobilier ","56100 EUR par an","Directeur de Programmes Immobilier SNC KHORGEST -4675 EUR net par mois"
"Guillaume Garot","pro",,,,
"Guillaume Larrivé ","pro",,"Avocat omis du Barreau de Paris depuis le 15/09/2015",,
"Guillaume Larrivé ","pro",,"Maître des requêtes au Conseil d'Etat en détachement depuis le 15/09/2015","2012 :  82114 EUR  par an",
"Guy Bailliart","pro",,"PUBLICATION A VENIR","PUBLICATION A VENIR",
"Guy Chambefort","pro",,"Retraité",,"Retraite de l'éducation nationale"
"Guy Delcourt","pro",,,,
"Guy Geoffroy","pro",,,,
"Guy Teissier","pro",,,,
"Guy-Dominique Kennel","pro",,"Inspecteur (IEN-ET) Rectorat de Strasbourg 6 rue de la Toussaint 67000 Strasbourg","41480 EUR par an ",
"Guy-Michel Chauveau","pro",,,,
"Gwendal Rouillard","pro",,,,
"Gwenegan Bui","pro",,"Relation avec les directions centrales et services préfectoraux","56636 EUR par an","Relation avec les directions centrales et services préfectoraux rédaction des documents stratégiques relation presse chargé de la communication interne et externe notes et discours DG et président suivi budgétaire 20/11/2009 : entrée en poste  -  4719.77 EUR"
"Hélène Conway-Mouret","pro",,"Ministre déléguée aux Français de l'Etranger","95328 EUR par an","Traitement 7944 EUR/mois"
"Hélène Geoffroy","pro",,,,
"Henri Cabanel","pro",,"Viticulteur",,"Non connue réel fiscal"
"Henri de Raincourt","pro",,"Retraite (agriculteur)",,
"Henri Emmanuelli","pro",,,,
"Henri Guaino","pro",,"Conseiller maître à la Cour des Comptes","70312 EUR par an","Rémunération nette mensuelle 5859,38 EUR"
"Henri Jibrayel","pro",,,,
"Henri Tandonnet","pro",,"Avoué à la cour","2011 : 71251 EUR","En 2011, Avoué à la cour"
"Hermeline Malherbe","pro",,,,
"Hervé Féron","pro",,"Auteur","1000 EUR par an.","J'ecris encore ponctuellement quelques textes ou musiques, ce qui me rapporte des droits Sacem lorsque ces œuvres sont interprétées - moins de 1000 EUR par an"
"Hervé Gaymard","pro",,,,
"Hervé Mariton","pro",,,,
"Hervé Marseille","pro",,"Membre du CESE","34059 EUR par an","2838,27 EUR net par mois"
"Hervé Maurey","pro",,,,
"Hervé Morin","pro",,"Gérant d'une EARL élevant des chevaux de course",,"Gérant d'une EARL élevant des chevaux de course, certains achetés ou élevés courant . Je vous joins les bilans de l'exploitation"
"Hervé Pellois","pro",,,,
"Hervé Poher","pro",,,,
"Hilarion Vendegou","pro",,,,
"Hubert Falco","pro",,,,
"Hugues Fourage","pro",,"Directeur adjoint Chambre consulaire en disponibilité",,"En disponibilité depuis 2010"
"Hugues Portelli","pro",,"Professeur des universités","2014 : 61455 EUR","Professeur des universités (Université Panthéon Assas Paris II) en service - 5121,29 EUR net/ mois (en 2014)"
"Huguette Bello","pro",,,,
"Ibrahim Aboubacar","pro",,,,
"Isabelle Attard","pro",,"Directrice Musée Utah Beach (2010-2012)","136348 EUR par an","Directrice Musée Utah Beach 2010 - 2012  -  3029 EUR / mois"
"Isabelle Bruneau","pro",,"Enseignante SES en lycée","27600 EUR par an","2300 EUR nets mensuels"
"Isabelle Debré","pro",,,,
"Isabelle Le Callennec","pro",,,,
"Jackie Pierre","pro",,,,
"Jacky Deromedi","pro",,"Managing Director APRIM FAR EAST PTE LTD","2014: 192384 EUR par an","2014: 16032 EUR net par mois"
"Jacqueline Fraysse","pro",,,,
"Jacqueline Gourault","pro",,,,
"Jacqueline Maquet","pro",,,,
"Jacques Alain Bénisti","pro",,,,
"Jacques Bigot","pro",,"Avocat honoraire sans activité","25900 EUR par an","2158 EUR mensuels de retaraite"
"Jacques Bompard","pro",,,,
"Jacques Chiron","pro",,,,
"Jacques Cornano","pro",,"Professeur de Génie électrique option électrotechnique","41486 EUR par an","Professeur de Génie électrique"
"Jacques Cresta","pro",,,,
"Jacques Gautier","pro",,,,
"Jacques Genest","pro",,,,
"Jacques Gillot","pro",,,,
"Jacques Grosperrin","pro",,"Professeur","36000 EUR par an","Net"
"Jacques Kossowski","pro",,,,
"Jacques Krabal","pro",,"Conseiller Général de l'Aisne ","27186 EUR par an","Conseiller Général de l'Aisne (jusqu'en déc 2012) - 2264 EUR"
"Jacques Krabal","pro",,"Maire de Château-Thierry","23856 EUR par an","1.988 €"
"Jacques Krabal","pro",,"Vice-Président Communauté de Communes ","4296 EUR par an","Communauté de Communes (CCRCT jusqu'en 09/13) Vice-Pdt - 358 EUR"
"Jacques Lamblin","pro",,,,
"Jacques Legendre","pro",,,,
"Jacques Mézard","pro",,,,
"Jacques Moignard","pro",,,,
"Jacques Myard","pro",,,,
"Jacques Pélissard","pro",,,,
"Jacques Valax","pro",,,,
"Jacques-Bernard Magner","pro",,"Professeur des Ecoles","30000 EUR par an","2500 EUR/mois"
"Jean Bizet","pro",,"Docteur vétérinaire",,"Abandon de ma profession en 1996 + première élection au sénat Cession de mes parts de société à cette date"
"Jean Desessard","pro",,"Sénateur",,
"Jean Glavany","pro",,"Avocat ","60935 EUR par an","Avocat au cabinet 'Parme avocats'"
"Jean Glavany","pro",,"Salarié ","61506 EUR par an","Salarié de la société 'Angel développement', entreprise ..... Organisatrice d'événements sportifs et culturels"
"Jean Grellier","pro",,,,
"Jean Lassalle","pro",,,,
"Jean Launay","pro",,,,
"Jean Leonetti","pro",,,,
"Jean-Baptiste Lemoyne","pro",,,,
"Jean-Charles Taugourdeau","pro",,,,
"Jean-Christophe Cambadélis","pro",,,,
"Jean-Christophe Fromantin","pro",,,,
"Jean-Christophe Lagarde","pro",,"Député","67602,24 EUR par an","Député - 5633,52 EUR/mois"
"Jean-Christophe Lagarde","pro",,"Maire de Drancy","13221 EUR par an",
"Jean-Christophe Lagarde","pro",,"Vice président de la communauté d'agglomération du Bourget","11035 EUR par an",
"Jean-Claude Bouchet","pro",,,,
"Jean-Claude Boulard","pro",,,,
"Jean-Claude Buisine","pro",,,,
"Jean-Claude Carle","pro",,,,
"Jean-Claude Frécon","pro",,,,
"Jean-Claude Fruteau","pro",,,,
"Jean-Claude Guibal","pro",,"Député","70097,40 EUR par an","Député -Indemnité Parlementaire mensuelle nette : 5841.45 EUR"
"Jean-Claude Guibal","pro",,"Maire de Menton","23062 EUR par an","Indemnité d'élu local mensuelle nette : 1921.71 EUR"
"Jean-Claude Guibal","pro",,"Retraité","46506,48 EUR par an","Pensions de retraite CARSAT+ARCCO+AGIRC -  Retraites mensuelles nettes 3875.54 EUR"
"Jean-Claude Guibal","pro",,"Vice-Président de la Communauté d'Agglomération de la Riviera Française",,
"Jean-Claude Lenoir","pro",,,,
"Jean-Claude Leroy","pro",,,,
"Jean-Claude Luche","pro",,"Retraite AGIRE","359,88 EUR par an ","29,99 EUR par mois"
"Jean-Claude Luche","pro",,"Retraite ARRCO","6083,4 EUR par an ","506,95 EUR par mois"
"Jean-Claude Luche","pro",,"Retraite CRAM","8073,24 EUR par an ","672,77 EUR par mois"
"Jean-Claude Luche","pro",,"Retraite IRCANTEC","4900,68 EUR par an ","408,39 EUR parmois"
"Jean-Claude Luche","pro",,"Retraite MSA","8700,24 EUR par an ","725,05 EUR par mois"
"Jean-Claude Mathis","pro",,,,
"Jean-Claude Mignon","pro",,,,
"Jean-Claude Perez","pro",,,,
"Jean-Claude Requier","pro",,,,
"Jean-David Ciot","pro",,"Chômeur","43452 EUR par an","Net mensuel : 3621,05"
"Jean-François Copé","pro",,"Avocat","2012 : 313703 EUR par an",
"Jean-François Copé","pro",,"Avocat jusqu'au 30/06/13","2013 : 184734 EUR par an","Réinscription au barreau le 17 juin 2014"
"Jean-François Copé","pro",,"Conférencier","2013 : 35135 EUR par an",
"Jean-François Copé","pro",,"Droits d'auteurs (livre)","2013 : 11939 EUR par an",
"Jean-François Copé","pro",,"Droits d'auteurs (livre)","2012 : 6041 EUR par an",
"Jean-François Husson","pro",,,,
"Jean-François Lamour","pro",,,,
"Jean-François Longeot","pro",,,,
"Jean-François Mancel","pro",,,,
"Jean-François Mayet","pro",,"Retraité",,
"Jean-Frédéric Poisson","pro",,"Gérant d'EURL",,"Néant (pas d'activité en 2012)"
"Jeanine Dubié","pro",,"Directrice d'Etablissement","49200 EUR par an","Directrice d'Etablissement d'Hébergement de Personnes Âgées Dépendantes (EHPAD) - 4100,00 / mois - Net"
"Jean-Jacques Bridey","pro",,"Instituteur à mi-temps (IA de l'Herault)",,
"Jean-Jacques Candelier","pro",,,,
"Jean-Jacques Cottel","pro",,,,
"Jean-Jacques Filleul","pro",,,,
"Jean-Jacques Guillet","pro",,,,
"Jean-Jacques Lasserre","pro",,,,
"Jean-Jacques Lozach","pro",,,,
"Jean-Jacques Panunzi","pro",,"Fonctionnaire territorial, mairie de Sorbollano (en disponibilité depuis le 29/09/2014)","30000 EUR par an",
"Jean-Jacques Urvoas","pro",,"Enseignant",,
"Jean-Jacques Vlody","pro",,"Enseignant","45474 EUR par an",
"Jean-Léonce Dupont","pro",,,,
"Jean-Louis Bricout","pro",,"Assistant parlementaire","8400 EUR par an","Assistant parlementaire de M. Balligaud du 01/11/2011 au 31/05/2012 - temps partiel 700 EUR/mois"
"Jean-Louis Bricout","pro",,"Conseiller régional (Picardie)","25084 EUR par an","2090,41 EUR/mois (indemnité d'élu)"
"Jean-Louis Bricout","pro",,"Maire de Bohain ","24964 EUR par an","Maire de Bohain depuis Mars 2008 jusqu'à aujourd'hui - 2080,40 EUR/mois indemnité d'élu"
"Jean-Louis Carrère","pro",,,,
"Jean-Louis Christ","pro",,,,
"Jean-Louis Costes","pro",,"Fonctionnaire territorial ","2013 : 45554 EUR","Fonctionnaire territorial (du 1/01/2013 au 23/06/2013)  - 22772 EUR"
"Jean-Louis Costes","pro",,"Fonctionnaire territorial Directeur d'un syndicat mixte","40672 EUR par an","Fonctionnaire territorial Directeur d'un syndicat mixte (de 2009 à déc. 2012) -162688 EUR "
"Jean-Louis Destans","pro",,,,
"Jean-Louis Dumont","pro",,"Retraité ",,"Retraité PCP2 - Retraite E.N à la proportionnelle depuis le 1er Avril 1994 (fin mandat député 1993)"
"Jean-Louis Gagnaire","pro",,,,
"Jean-Louis Masson","pro",,,,
"Jean-Louis Roumegas","pro",,"Instituteur","10800 EUR par an","Instituteur 1/2 temps (IA de l'Herault) - 900 EUR/ mois"
"Jean-Louis Touraine","pro",,"Praticien hospitalier temps partiel","41952 EUR par an","Praticien hospitalier temps partiel - 3496 EUR/mois"
"Jean-Louis Touraine","pro",,"Praticien Hospitalier temps partiel","41952 EUR par an","Temps partiel"
"Jean-Louis Touraine","pro",,"Professeur de Médecine","53892 EUR par an","4491 EUR/mois"
"Jean-Louis Touraine","pro",,"Professeur de Médecine","53892 EUR par an",
"Jean-Louis Tourenne","pro",,,,
"Jean-Luc Bleunven","pro",,"Agriculteur","2012 : 14164 EUR","Bénéfice Agricole 2012 : 14164 EUR"
"Jean-Luc Laurent","pro",,,,
"Jean-Luc Reitzer","pro",,,,
"Jean-Luc Warsmann","pro",,,,
"Jean-Marc Ayrault","pro",,,,
"Jean-Marc Fournel","pro",,,,
"Jean-Marc Gabouty","pro",,"Chef d'entreprise","105235 EUR par an ",
"Jean-Marc Germain","pro",,"Directeur de cabinet Parti socialiste","49800 EUR par an","Temps partiel"
"Jean-Marie Beffara","pro",,"Assistant parlementaire","32736 EUR par an",
"Jean-Marie Bockel","pro",,,,
"Jean-Marie Morisset","pro",,,,
"Jean-Marie Sermier","pro",,,,
"Jean-Marie Tetart","pro",,"Ingénieur Général des Ponts et des Eaux et forêts",,"J'ai exercé ma profession d'ingénieur Général des Ponts et des Eaux et forêts (statut de fonctionnaire) au sein du ministère de l'équipement jusqu'au 1er octobre 2012, date de ma mise en retraite"
"Jean-Marie Vanlerenberghe","pro",,,,
"Jean-Michel Clément","pro",,"Avocat",,"Avocat libéral - AUCUNE Cf résultats ci-dessous"
"Jean-Michel Couve","pro",,,,
"Jean-Michel Villaumé","pro",,,,
"Jean-Noël Cardoux","pro",,,,
"Jean-Noël Carpentier","pro",,"Cadre commercial","27284 EUR par an","Cadre commercial auprès de la société BERIM -En raison de mon élection comme député, j'ai suspendu mon contrat de travail à compter du 1er juillet 2012 en application de l'article L.3142-60 du code du travail Dernier salaire perçu le 30 juin 2012 pour un montant de 2273,70 EUR"
"Jean-Noël Guérini","pro",,,,
"Jeanny Lorgeoux","pro",,,,
"Jean-Patrick Gille","pro",,,,
"Jean-Paul Bacquet","pro",,,,
"Jean-Paul Chanteguet","pro",,,,
"Jean-Paul Dupré","pro",,"Retraité banque",,
"Jean-Paul Emorine","pro",,,,
"Jean-Paul Fournier","pro",,,,
"Jean-Paul Tuaiva","pro",,"Dirigeant entreprise","2012 : 11732 EUR","JP Construction (Entreprise individuelle radiée le 31/12/2012) - De juin à Déc 2012 : 1 400 000 xpf"
"Jean-Paul Tuaiva","pro",,"Dirigeant entreprise","2012 : 18226 EUR","JP DONUTS - De Juin à Dec 2012 = 2 175 000 xp"
"Jean-Paul Tuaiva","pro",,"Dirigeant SCI",,"SCI - De Juin à Dec 2012 = 0 xpf"
"Jean-Paul Tuaiva","pro",,"GERANT DE SOCIETES: AU MIL DELICES","2012 : 5028 EUR","GERANT DE SOCIETES: AU MIL DELICES -  De Juin à Dec 2012 = 600 000 xpf"
"Jean-Philippe Nilor","pro",,,,
"Jean-Pierre Allossery","pro",,"Retraité",,
"Jean-Pierre Barbier","pro",,"Pharmacien d'officine","36000 EUR par an","3000 EUR par mois"
"Jean-Pierre Blazy","pro",,,,
"Jean-Pierre Bosino","pro",,,,
"Jean-Pierre Caffet","pro",,,,
"Jean-Pierre Cantegrit","pro",,"Chargé des relations extérieures du Groupe Castel","72881,64 EUR par an ",
"Jean-Pierre Decool","pro",,,,
"Jean-Pierre Door","pro",,"Retraité",,"Médecin retraité"
"Jean-Pierre Dufau","pro",,,,
"Jean-Pierre Giran","pro",,"Professeur des universités","55200 EUR par an","4600 EUR/mois"
